"timestamp","price","size","side","vix"
1441915471382787,195100,1,"B",2455
1441915473198888,195125,1,"A",2455
1441915474288541,195100,1,"B",2455
1441915477311411,195125,1,"A",2455
1441915487328216,195100,5,"B",2450
1441915488274398,195125,35,"A",2450
1441915489268414,195100,1,"A",2450
1441915490480971,195075,1,"A",2450
1441915490824848,195050,2,"B",2450
1441915492348417,195025,1,"B",2445
1441915492566854,195000,1,"B",2450
1441915493008059,195025,1,"A",2450
1441915493446745,195000,1,"B",2450
1441915493460651,194975,1,"B",2450
1441915493532087,195000,1,"A",2450
1441915493752464,194950,2,"B",2450
1441915494191635,195000,1,"A",2450
1441915495069826,194950,2,"B",2450
1441915495509480,194950,2,"A",2450
1441915495513366,194925,2,"B",2450
1441915495734377,194925,2,"B",2455
1441915496181194,194925,2,"B",2455
1441915497143406,194925,8,"B",2455
1441915498242009,194925,14,"B",2460
1441915500222145,194925,11,"B",2460
1441915500467048,194950,5,"A",2460
1441915500661511,194925,1,"B",2460
1441915500662541,194950,4,"A",2460
1441915500663538,194925,2,"B",2460
1441915501549883,194925,2,"B",2460
1441915502874613,194925,3,"B",2460
1441915503313436,194925,10,"B",2460
1441915503532432,194950,15,"A",2460
1441915505142414,194950,16,"B",2460
1441915505800798,194950,1,"A",2460
1441915507609519,194925,1,"B",2460
1441915510020021,194950,7,"B",2465
1441915511136053,194950,21,"B",2465
1441915514581990,194975,1,"A",2465
1441915516776164,194950,43,"A",2465
1441915517533386,194950,44,"A",2465
1441915518851782,194925,1,"A",2465
1441915520838032,194925,5,"B",2465
1441915524713051,194950,5,"A",2460
1441915528962929,194950,2,"A",2460
1441915530291114,194925,8,"A",2460
1441915532842418,194900,1,"B",2460
1441915534171541,194900,2,"B",2460
1441915537864820,194900,1,"B",2455
1441915538845185,194925,1,"A",2455
1441915542373371,194900,1,"B",2460
1441915542819783,194925,2,"B",2460
1441915545578818,194975,1,"A",2460
1441915547409052,195000,4,"B",2460
1441915548710891,195050,1,"A",2460
1441915549827528,195000,5,"A",2460
1441915551143980,195000,40,"A",2460
1441915553773085,195025,1,"B",2460
1441915555696511,195025,2,"A",2460
1441915557406085,194975,7,"A",2460
1441915558993596,194950,7,"B",2460
1441915559222902,194950,46,"B",2460
1441915560352677,194900,1,"B",2460
1441915561249772,194925,5,"B",2460
1441915561468408,194925,106,"A",2460
1441915563882491,194925,2,"A",2460
1441915565439363,194925,2,"A",2460
1441915565877706,194900,3,"B",2460
1441915566755227,194925,5,"A",2460
1441915567334360,194925,1,"A",2460
1441915568231385,194900,2,"B",2460
1441915570203221,194925,2,"A",2460
1441915570207642,194925,5,"A",2460
1441915570861605,194900,7,"B",2460
1441915573482762,194925,3,"A",2460
1441915575017612,194925,1,"A",2460
1441915577357384,194925,101,"B",2460
1441915578872548,194950,1,"A",2460
1441915581650235,194950,2,"A",2460
1441915584758634,194950,1,"A",2460
1441915588369036,194925,1,"B",2460
1441915589769413,194950,1,"A",2465
1441915590866413,194925,4,"B",2465
1441915590869584,194925,6,"B",2465
1441915591306299,194925,3,"B",2465
1441915595220534,194925,1,"A",2465
1441915596784393,194925,2,"A",2465
1441915601014766,194900,1,"B",2465
1441915603711259,194925,1,"A",2465
1441915604588683,194925,7,"B",2465
1441915607327005,194925,1,"A",2465
1441915608649937,194925,1,"A",2465
1441915609089715,194925,2,"A",2465
1441915610436498,194900,4,"B",2465
